transform,cluster,model,MAE,RMSE,MAPE,sMAPE,MASE
diff,1,mean,3639.868828193449,3896.976573895538,45.802271632150436,57.70976035164549,6.011269415245332
diff,1,median,4108.324227824485,4360.645571115399,50.94764156036914,70.19052031911475,6.7203544052987425
diff,1,AutoTheta,1088.8138637309073,1378.3826009111897,13.36424421536259,13.520795545975187,1.1617429390275444
diff,1,AutoETS,1002.8009741186983,1267.6515941717912,13.36914077975214,12.713441123553796,1.0673129864588677
diff,1,catboost,1088.378432553069,1373.3922729499964,14.407944425271676,13.477748633464921,1.1952086796722896
diff,2,naive,1073.7001414166084,1306.8581045208878,31.02059946043235,25.063153137064198,0.6927653368495095
diff,2,seasonal_naive,1480.444894187661,1791.982670477238,42.237412128061656,32.680521105373465,0.9328660189201922
diff,2,mean,2693.804779033277,2800.7337844840977,85.76184084090069,54.49072288964472,1.9228866327174845
diff,2,median,2576.88297923655,2685.293145865499,77.57418429034537,50.47262025134586,1.9100894981218461
diff,2,AutoTheta,1132.6416580014318,1395.5500866274226,30.443074271342503,31.222533691742875,0.7083927801680773
diff,2,AutoETS,1145.601878359519,1403.2465567453928,32.25317059173321,28.68269675262886,0.7105008406864877
diff,2,catboost,1060.938974923688,1292.9264309208647,28.86115443860531,27.920212173705096,0.6733213808862732
diff,3,naive,1902.8407407407406,2188.7300828218354,47.354034626716384,58.246652089331015,0.9675400341278602
diff,3,seasonal_naive,1328.6777777777777,1757.6365056152554,61.78711717029029,42.06669545102712,1.2476746246793669
diff,3,mean,1199.1785548185,1455.513164751277,36.91667960150601,31.871768232704216,0.6612870627020703
diff,3,median,1178.4662962962964,1432.3237581992469,38.051555155542964,37.9572644907035,0.7708100270442141
diff,3,AutoTheta,1097.8109729004652,1294.4165168623247,37.24241736833,30.04483008647405,0.6253739362973583
diff,3,AutoETS,2137.152732444167,3406.2357935985438,58.43100046689549,39.556640785883666,0.9814124181199905
diff,3,catboost,1314.9677624674816,1575.2038109607263,57.48120618949175,54.496787462151964,1.0675919408663768
